"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 30 11:03:50 GMT 2022","Wed Nov 30 11:03:55 GMT 2022","5358","Suite","chrome","com.dotdash.CheckboxesTest","com.dotdash.CheckboxesTest","mustCheckAndUncheckFirstCheckbox","mustCheckAndUncheckFirstCheckbox",""
"passed","Wed Nov 30 11:04:14 GMT 2022","Wed Nov 30 11:04:16 GMT 2022","1838","Suite","chrome","com.dotdash.IframeTests","com.dotdash.IframeTests","shouldBeAbleToTypeOnIframe","shouldBeAbleToTypeOnIframe",""
"passed","Wed Nov 30 11:03:58 GMT 2022","Wed Nov 30 11:03:59 GMT 2022","917","Suite","chrome","com.dotdash.OpenInNewTabTests","com.dotdash.OpenInNewTabTests","shouldSeeTextInSwitchedTab","shouldSeeTextInSwitchedTab",""
"passed","Wed Nov 30 11:04:03 GMT 2022","Wed Nov 30 11:04:04 GMT 2022","1245","Suite","chrome","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldShowJSAlert","shouldShowJSAlert",""
"passed","Wed Nov 30 11:04:21 GMT 2022","Wed Nov 30 11:04:23 GMT 2022","2604","Suite","chrome","com.dotdash.FloatingMenuTests","com.dotdash.FloatingMenuTests","shouldSeeFloatingMenuWhenScroll","shouldSeeFloatingMenuWhenScroll",""
"passed","Wed Nov 30 11:04:12 GMT 2022","Wed Nov 30 11:04:17 GMT 2022","5234","Suite","chrome","com.dotdash.JavaScriptErrorTests","com.dotdash.JavaScriptErrorTests","shouldValidateError","shouldValidateError",""
"passed","Wed Nov 30 11:04:36 GMT 2022","Wed Nov 30 11:04:37 GMT 2022","1337","Suite","chrome","com.dotdash.DynamicContentTests","com.dotdash.DynamicContentTests","contentShouldNotBeTheSame","contentShouldNotBeTheSame",""
"passed","Wed Nov 30 11:03:46 GMT 2022","Wed Nov 30 11:03:48 GMT 2022","2490","Suite","chrome","com.dotdash.DragAndDropTests","com.dotdash.DragAndDropTests","shouldSwitchSquares","shouldSwitchSquares",""
"passed","Wed Nov 30 11:04:30 GMT 2022","Wed Nov 30 11:04:34 GMT 2022","3749","Suite","chrome","com.dotdash.LoginTests","com.dotdash.LoginTests","mustLoginSuccessfully","mustLoginSuccessfully",""
"passed","Wed Nov 30 11:04:17 GMT 2022","Wed Nov 30 11:04:24 GMT 2022","7271","Suite","chrome","com.dotdash.DynamicControlTests","com.dotdash.DynamicControlTests","shouldRemoveAndAddCheckbox","shouldRemoveAndAddCheckbox",""
"passed","Wed Nov 30 11:04:25 GMT 2022","Wed Nov 30 11:04:26 GMT 2022","1260","Suite","chrome","com.dotdash.DropdownTests","com.dotdash.DropdownTests","shouldSelectFirstOption","shouldSelectFirstOption",""
"passed","Wed Nov 30 11:04:32 GMT 2022","Wed Nov 30 11:04:33 GMT 2022","1969","Suite","chrome","com.dotdash.LoginTests","com.dotdash.LoginTests","mustFailLogin","mustFailLogin",""
"passed","Wed Nov 30 11:04:02 GMT 2022","Wed Nov 30 11:04:04 GMT 2022","2903","Suite","chrome","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldTypeInJsAlert","shouldTypeInJsAlert",""
"passed","Wed Nov 30 11:04:23 GMT 2022","Wed Nov 30 11:04:26 GMT 2022","3280","Suite","chrome","com.dotdash.DropdownTests","com.dotdash.DropdownTests","shouldSelectSecondOption","shouldSelectSecondOption",""
"passed","Wed Nov 30 11:04:40 GMT 2022","Wed Nov 30 11:04:46 GMT 2022","5905","Suite","chrome","com.dotdash.DynamicLoadingTests","com.dotdash.DynamicLoadingTests","shouldSeeHelloWorld","shouldSeeHelloWorld",""
"passed","Wed Nov 30 11:04:08 GMT 2022","Wed Nov 30 11:04:16 GMT 2022","7248","Suite","chrome","com.dotdash.DynamicControlTests","com.dotdash.DynamicControlTests","shouldEnableAndDisableButton","shouldEnableAndDisableButton",""
"passed","Wed Nov 30 11:04:43 GMT 2022","Wed Nov 30 11:04:43 GMT 2022","838","Suite","chrome","com.dotdash.ContextMenuTests","com.dotdash.ContextMenuTests","shouldOpenAlertAfterRightClick","shouldOpenAlertAfterRightClick",""
"passed","Wed Nov 30 11:04:28 GMT 2022","Wed Nov 30 11:04:33 GMT 2022","4907","Suite","chrome","com.dotdash.MouseHoverTests","com.dotdash.MouseHoverTests","shouldSeeHoveredInformation","shouldSeeHoveredInformation",""
"passed","Wed Nov 30 11:04:06 GMT 2022","Wed Nov 30 11:04:07 GMT 2022","765","Suite","chrome","com.dotdash.JavaScriptAlertTests","com.dotdash.JavaScriptAlertTests","shouldConfirmJsAlert","shouldConfirmJsAlert",""
"passed","Wed Nov 30 11:03:53 GMT 2022","Wed Nov 30 11:03:55 GMT 2022","1990","Suite","chrome","com.dotdash.FileUploadTests","com.dotdash.FileUploadTests","shouldUploadFile","shouldUploadFile",""
"passed","Wed Nov 30 11:03:47 GMT 2022","Wed Nov 30 11:03:51 GMT 2022","3384","Suite","chrome","com.dotdash.CheckboxesTest","com.dotdash.CheckboxesTest","mustCheckAndUncheckSecondCheckbox","mustCheckAndUncheckSecondCheckbox",""
"passed","Wed Nov 30 11:04:45 GMT 2022","Wed Nov 30 11:04:51 GMT 2022","5961","Suite","chrome","com.dotdash.FileDownloadTests","com.dotdash.FileDownloadTests","shouldDownloadFile","shouldDownloadFile",""
"passed","Wed Nov 30 11:03:52 GMT 2022","Wed Nov 30 11:03:55 GMT 2022","3698","Suite","chrome","com.dotdash.NotificationMessageTests","com.dotdash.NotificationMessageTests","shouldValidateNotificationMessage","shouldValidateNotificationMessage",""
